id,title,overview,genres,keywords,vote_average,vote_count,popularity,release_date,status,imdb_id,poster_path,tagline,production_companies,production_countries
1,The Shawshank Redemption,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.,[{'name': 'Drama'}],"[{'name': 'prison'}, {'name': 'hope'}, {'name': 'freedom'}, {'name': 'redemption'}, {'name': 'friendship'}]",8.7,25000,80,1994-09-23,Released,tt0111161,/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg,Fear can hold you prisoner. Hope can set you free.,[{'name': 'Castle Rock Entertainment'}],[{'name': 'United States of America'}]
2,The Godfather,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.,"[{'name': 'Drama'}, {'name': 'Crime'}]","[{'name': 'mafia'}, {'name': 'family'}, {'name': 'crime'}, {'name': 'power'}, {'name': 'loyalty'}]",8.7,19000,85,1972-03-14,Released,tt0068646,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,An offer you can't refuse.,[{'name': 'Paramount Pictures'}],[{'name': 'United States of America'}]
3,The Dark Knight,Batman raises the stakes in his war on crime with the help of allies to dismantle the remaining criminal organizations.,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}]","[{'name': 'superhero'}, {'name': 'joker'}, {'name': 'batman'}, {'name': 'gotham'}, {'name': 'vigilante'}]",8.5,31000,90,2008-07-16,Released,tt0468569,/qJ2tW6WMUDux911BTUgMe0Jt.jpg,Why so serious?,[{'name': 'Warner Bros Pictures'}],[{'name': 'United States of America'}]
4,Pulp Fiction,The lives of two mob hitmen a boxer a gangster and his wife intertwine in four tales of violence and redemption.,"[{'name': 'Crime'}, {'name': 'Thriller'}]","[{'name': 'nonlinear'}, {'name': 'crime'}, {'name': 'hitman'}, {'name': 'redemption'}, {'name': 'dark comedy'}]",8.5,26000,75,1994-09-10,Released,tt0110912,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,You won't know the facts until you've seen the fiction.,[{'name': 'Miramax'}],[{'name': 'United States of America'}]
5,Forrest Gump,The presidencies of Kennedy and Johnson the Vietnam War and other events unfold from the perspective of an Alabama man.,"[{'name': 'Drama'}, {'name': 'Comedy'}, {'name': 'Romance'}]","[{'name': 'vietnam'}, {'name': 'destiny'}, {'name': 'running'}, {'name': 'love'}, {'name': 'history'}]",8.5,26000,78,1994-06-23,Released,tt0109830,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,Life is like a box of chocolates.,[{'name': 'Paramount Pictures'}],[{'name': 'United States of America'}]
6,Inception,A thief who steals corporate secrets through dream-sharing technology is given the task of planting an idea.,"[{'name': 'Action'}, {'name': 'Science Fiction'}, {'name': 'Adventure'}]","[{'name': 'dreams'}, {'name': 'subconscious'}, {'name': 'heist'}, {'name': 'mind'}, {'name': 'reality'}]",8.4,35000,95,2010-07-15,Released,tt1375666,/9gk7adHYeDvHkCSEhnivolV3LGrP.jpg,Your mind is the scene of the crime.,[{'name': 'Warner Bros Pictures'}],[{'name': 'United States of America'}]
7,Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club.,"[{'name': 'Drama'}, {'name': 'Thriller'}]","[{'name': 'identity'}, {'name': 'rebellion'}, {'name': 'consumerism'}, {'name': 'chaos'}, {'name': 'underground'}]",8.4,27000,73,1999-10-15,Released,tt0137523,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,Mischief. Mayhem. Soap.,[{'name': '20th Century Fox'}],[{'name': 'United States of America'}]
8,The Matrix,A computer hacker learns about the true nature of his reality and his role in the war against its controllers.,"[{'name': 'Action'}, {'name': 'Science Fiction'}]","[{'name': 'artificial intelligence'}, {'name': 'matrix'}, {'name': 'simulation'}, {'name': 'hacker'}, {'name': 'chosen one'}]",8.2,24000,80,1999-03-30,Released,tt0133093,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,Welcome to the Real World.,[{'name': 'Warner Bros Pictures'}],[{'name': 'United States of America'}]
9,Goodfellas,The story of Henry Hill and his life in the mob covering his relationship with his wife Karen Hill.,"[{'name': 'Drama'}, {'name': 'Crime'}]","[{'name': 'mafia'}, {'name': 'gangster'}, {'name': 'crime'}, {'name': 'mob'}, {'name': 'true story'}]",8.5,12000,60,1990-09-12,Released,tt0099685,/aKuFiU82s5ISJDx1LDECQpT4hxe.jpg,Three decades of life in the mafia.,[{'name': 'Warner Bros Pictures'}],[{'name': 'United States of America'}]
10,Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity survival.,"[{'name': 'Adventure'}, {'name': 'Drama'}, {'name': 'Science Fiction'}]","[{'name': 'space'}, {'name': 'wormhole'}, {'name': 'time'}, {'name': 'survival'}, {'name': 'exploration'}]",8.4,33000,92,2014-11-05,Released,tt0816692,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,Mankind was born on Earth. It was never meant to die here.,[{'name': 'Paramount Pictures'}],[{'name': 'United States of America'}]
